"auctiondate","price_sum","number_lots"
"2019-02-17 00:00:00",47480.64,380
"2019-04-08 00:00:00",70193.525,722
"2019-05-19 00:00:00",0,485
"2019-07-07 00:00:00",62836.89000000001,584
"2019-09-29 00:00:00",43159.520000000004,305
"2019-10-11 00:00:00",61934.55,518
"2019-12-29 00:00:00",61488.78,418
"2020-02-16 00:00:00",45723,319
"2020-05-01 00:00:00",69844.15,494
"2020-05-04 00:00:00",33916.5,248
"2020-05-17 00:00:00",55284.325000000004,323
"2020-08-11 00:00:00",59867.600000000006,478
"2020-09-08 00:00:00",96453.56999999999,779
"2020-09-27 00:00:00",65128.424999999996,508
"2020-12-07 00:00:00",85400.5,473
"2020-12-27 00:00:00",132396.39,735
"2021-01-08 00:00:00",186576.07499999998,628
"2021-01-24 00:00:00",312682.625,1047
"2021-02-14 00:00:00",162494.50999999998,638
"2021-03-10 00:00:00",180885.71000000005,691
"2021-03-28 00:00:00",184112.19999999995,776
"2021-04-18 00:00:00",142627.02000000002,569
"2021-05-12 00:00:00",339684.17500000005,1246
"2021-05-30 00:00:00",238349.48500000004,950
"2021-06-20 00:00:00",125924.93999999999,567
"2021-08-22 00:00:00",116255.38500000001,522
"2021-09-05 00:00:00",216554.75000000003,892
"2021-10-24 00:00:00",233866.32500000004,822
"2021-11-07 00:00:00",162423.63,671
"2021-11-14 00:00:00",258483.75499999998,1001
"2021-12-09 00:00:00",156560.115,568
"2021-12-26 00:00:00",195032.00500000003,919
"2022-01-05 00:00:00",132465.51,477
"2022-01-16 00:00:00",136946.735,544
"2022-02-27 00:00:00",158166.48999999993,723
"2022-03-20 00:00:00",171717.185,739
"2022-05-22 00:00:00",121046.025,587
"2022-06-02 00:00:00",233480.88000000006,795
"2022-10-04 00:00:00",132586.18000000002,684
"2022-12-06 00:00:00",164519.505,738
